"","sido","sigugun","n"
"1","강원도","동해시",1
"2","강원도","양양군",1
"3","강원도","철원군",1
"4","강원도","횡성군",1
"5","강원도","양구군",2
"6","강원도","정선군",2
"7","강원도","홍천군",2
"8","강원도","고성군",3
"9","강원도","태백시",3
"10","강원도","인제군",4
"11","강원도","화천군",4
"12","강원도","삼척시",5
"13","강원도","속초시",5
"14","강원도","영월군",5
"15","강원도","원주시",5
"16","강원도","평창군",8
"17","강원도","춘천시",9
"18","강원도","강릉시",14
"19","경기도","과천시",2
"20","경기도","수원시",2
"21","경기도","연천군",2
"22","경기도","하남시",3
"23","경기도","가평군",4
"24","경기도","동두천시",4
"25","경기도","장안구",4
"26","경기도","김포시",5
"27","경기도","여주시",5
"28","경기도","이천시",5
"29","경기도","광명시",6
"30","경기도","권선구",6
"31","경기도","안양시 동안구",6
"32","경기도","오산시",6
"33","경기도","포천시",6
"34","경기도","고양시 일산서구",7
"35","경기도","부천시",7
"36","경기도","의왕시",7
"37","경기도","팔달구",7
"38","경기도","구리시",8
"39","경기도","양주시",8
"40","경기도","영통구",8
"41","경기도","고양시 일산동구",9
"42","경기도","광주시",10
"43","경기도","남양주시",11
"44","경기도","단원구",11
"45","경기도","안성시",12
"46","경기도","양평군",12
"47","경기도","성남시",13
"48","경기도","파주시",14
"49","경기도","평택시",14
"50","경기도","화성시",16
"51","경기도","고양시 덕양구",18
"52","경기도","안산시",19
"53","경기도","의정부시",19
"54","경기도","시흥시",26
"55","경기도","군포시",46
"56","경상남도","창원시 성산구",1
"57","경상남도","하동군",1
"58","경상남도","함안군",1
"59","경상남도","거창군",2
"60","경상남도","남해군",2
"61","경상남도","밀양시",2
"62","경상남도","사천시",2
"63","경상남도","의령군",2
"64","경상남도","창원시 마산합포구",2
"65","경상남도","함양군",2
"66","경상남도","고성군",3
"67","경상남도","산청군",3
"68","경상남도","창녕군",3
"69","경상남도","창원시 마산회원구",4
"70","경상남도","통영시",5
"71","경상남도","합천군",21
"72","경상남도","거제시",25
"73","경상남도","김해시",45
"74","경상남도","양산시",62
"75","경상남도","창원시",67
"76","경상남도","진주시",115
"77","경상북도","고령군",1
"78","경상북도","봉화군",1
"79","경상북도","성주군",1
"80","경상북도","예천군",1
"81","경상북도","의성군",1
"82","경상북도","청송군",1
"83","경상북도","경산시",2
"84","경상북도","안동시",2
"85","경상북도","청도군",2
"86","경상북도","군위군",3
"87","경상북도","영양군",3
"88","경상북도","문경시",4
"89","경상북도","상주시",4
"90","경상북도","영덕군",5
"91","경상북도","칠곡군",5
"92","경상북도","경주시",6
"93","경상북도","울진군",8
"94","경상북도","구미시",11
"95","경상북도","김천시",11
"96","경상북도","포항시",47
"97","광주광역시","남구",7
"98","광주광역시","광산구",11
"99","광주광역시","동구",39
"100","광주광역시","서구",82
"101","광주광역시","북구",132
"102","대구광역시","남구",7
"103","대구광역시","수성구",10
"104","대구광역시","달성군",13
"105","대구광역시","동구",18
"106","대구광역시","서구",19
"107","대구광역시","중구",30
"108","대구광역시","북구",52
"109","대구광역시","달서구",56
"110","대전광역시","대덕구",6
"111","대전광역시","서구",8
"112","대전광역시","동구",16
"113","대전광역시","유성구",21
"114","대전광역시","중구",52
"115","부산광역시","중구",1
"116","부산광역시","금정구",2
"117","부산광역시","동구",2
"118","부산광역시","수영구",2
"119","부산광역시","동래구",3
"120","부산광역시","북구",4
"121","부산광역시","기장군",5
"122","부산광역시","부산중구",6
"123","부산광역시","연제구",6
"124","부산광역시","해운대구",8
"125","부산광역시","사상구",16
"126","부산광역시","강서구",18
"127","부산광역시","서구",18
"128","부산광역시","영도구",18
"129","부산광역시","사하구",19
"130","부산광역시","부산진구",20
"131","부산광역시","남구",30
"132","서울특별시","서울시 중구",1
"133","서울특별시","중랑구",4
"134","서울특별시","강동구",5
"135","서울특별시","서초구",6
"136","서울특별시","중구",7
"137","서울특별시","동작구",8
"138","서울특별시","구로구",9
"139","서울특별시","송파구",11
"140","서울특별시","성북구",12
"141","서울특별시","강북구",14
"142","서울특별시","마포구",14
"143","서울특별시","서대문구",16
"144","서울특별시","종로구",17
"145","서울특별시","양천구",18
"146","서울특별시","금천구",21
"147","서울특별시","성동구",23
"148","서울특별시","강남구",24
"149","서울특별시","영등포구",25
"150","서울특별시","노원구　",27
"151","서울특별시","서울특별시 도봉구",31
"152","서울특별시","강서구",34
"153","서울특별시","광진구",38
"154","서울특별시","관악구",43
"155","서울특별시","은평구",82
"156","세종특별자치시","-",1
"157","세종특별자치시","세종특별자치시",8
"158","울산광역시","동구",11
"159","울산광역시","북구",13
"160","울산광역시","울주군",34
"161","울산광역시","중구",51
"162","울산광역시","남구",74
"163","인천광역시","동구",1
"164","인천광역시","강화군",2
"165","인천광역시","계양구",4
"166","인천광역시","옹진군",4
"167","인천광역시","남동구",5
"168","인천광역시","연수구",11
"169","인천광역시","미추홀구",14
"170","인천광역시","중구",17
"171","인천광역시","부평구",37
"172","인천광역시","서구",62
"173","전라남도","곡성군",1
"174","전라남도","구례군",1
"175","전라남도","무안군",1
"176","전라남도","보성군",1
"177","전라남도","완도군",1
"178","전라남도","장흥군",1
"179","전라남도","전라남도",1
"180","전라남도","진도군",1
"181","전라남도","해남군",1
"182","전라남도","나주시",2
"183","전라남도","영광군",2
"184","전라남도","영암군",2
"185","전라남도","광양시",4
"186","전라남도","장성군",4
"187","전라남도","함평군",6
"188","전라남도","담양군",7
"189","전라남도","여수시",7
"190","전라남도","신안군",10
"191","전라남도","화순군",15
"192","전라남도","목포시",22
"193","전라남도","순천시",64
"194","전라북도","남원시",1
"195","전라북도","전라북도 진안군",1
"196","전라북도","진안군",1
"197","전라북도","장수군",2
"198","전라북도","무주군",3
"199","전라북도","순창군",3
"200","전라북도","전라북도 남원시",3
"201","전라북도","부안군",4
"202","전라북도","전라북도 김제시",5
"203","전라북도","고창군",10
"204","전라북도","임실군",11
"205","전라북도","익산시",12
"206","전라북도","완주군",17
"207","전라북도","군산시",21
"208","전라북도","정읍시",22
"209","전라북도","전주시",52
"210","제주특별자치도","제주시",17
"211","제주특별자치도","서귀포시",35
"212","충청남도","천안시 서북구",1
"213","충청남도","홍성",1
"214","충청남도","계룡시",2
"215","충청남도","부여군",2
"216","충청남도","서천군",2
"217","충청남도","천안시 동남구",2
"218","충청남도","예산군",3
"219","충청남도","태안군",3
"220","충청남도","홍성군",3
"221","충청남도","공주시",4
"222","충청남도","아산시",7
"223","충청남도","논산시",8
"224","충청남도","보령시",8
"225","충청남도","서산시",8
"226","충청남도","금산군",9
"227","충청남도","청양군",12
"228","충청남도","당진시",14
"229","충청남도","천안시",23
"230","충청북도","옥천군",2
"231","충청북도","증평군",2
"232","충청북도","충주시",2
"233","충청북도","단양군",4
"234","충청북도","진천군",6
"235","충청북도","음성군",8
"236","충청북도","충청북도 제천시",10
"237","충청북도","청주시",11
"238","충청북도","영동군",43
