검색결과,,,,,,,,,,,,
구분,,,,,2017,,,,,,,
,,,,,요일별평균,,,,,,,
호선명,역명,행정구역,월,승하차,월요일,화요일,수요일,목요일,금요일,토요일,일요일,모든요일
2호선,강남,___역삼2동(서울강남),1월,총승하차,"241,547","251,463","248,088","221,059","157,976","94,811","213,687","202,083"
2호선,강남,___역삼2동(서울강남),2월,총승하차,"249,424","248,932","249,610","265,965","199,922","114,066","241,667","224,226"
2호선,강남,___역삼2동(서울강남),3월,총승하차,"225,552","205,502","224,673","247,270","196,728","112,857","221,095","206,844"
2호선,강남,___역삼2동(서울강남),4월,총승하차,"220,180","224,021","225,081","243,236","184,352","109,321","215,358","199,329"
2호선,강남,___역삼2동(서울강남),5월,총승하차,"203,007","203,885","219,069","213,423","177,524","109,885","203,547","191,348"
2호선,강남,___역삼2동(서울강남),6월,총승하차,"194,728","223,475","223,483","238,811","181,155","104,944","216,680","199,847"
2호선,강남,___역삼2동(서울강남),7월,총승하차,"247,985","252,365","250,127","261,288","177,068","102,634","230,855","212,898"
2호선,강남,___역삼2동(서울강남),8월,총승하차,"207,312","231,763","229,666","250,274","177,072","103,627","222,674","205,106"
2호선,강남,___역삼2동(서울강남),9월,총승하차,"218,079","221,854","223,590","242,585","183,405","108,144","213,487","202,352"
2호선,강남,___역삼2동(서울강남),10월,총승하차,"182,627","172,084","184,534","207,602","169,535","105,858","174,300","169,321"
2호선,강남,___역삼2동(서울강남),11월,총승하차,"215,521","218,511","220,250","241,915","187,164","110,961","210,822","201,978"
2호선,강남,___역삼2동(서울강남),12월,총승하차,"228,168","234,769","240,599","257,387","192,202","113,465","197,216","207,041"
